acc,diceScore,epoch,trainLoss,valLoss
90.28,0.5432953834,.4195490129016064,0.33199647400114274
89.72,0.516287088394165,1,0.32794161168513475,0.37849547686400237
90.93,0.6240188479423523,2,0.2992320140754735,0.2752656059132682
91.35,0.6096668243408203,3,0.2749117985367775,0.2577102432648341
90.82,0.46601831912994385,4,0.2563284450659045,0.2429392729644422
91.81,0.6133841276168823,5,0.2396912206378248,0.2240252318205657
91.79,0.6218792200088501,6,0.22904261518959645,0.2184692096930963
92.08,0.6187933087348938,7,0.21832425147294998,0.20721958798390847
92.36,0.640954315662384,8,0.2107473258618955,0.19642148580816057
91.35,0.5053413510322571,9,0.20219019703842975,0.21231494733580836
92.57,0.6953151822090149,10,0.1986084723914111,0.18528224969351734
92.53,0.630848228931427,11,0.19167155096376384,0.18014802314617015
92.60,0.6634849309921265,12,0.1884373408500795,0.18057806293169656
92.78,0.6651219129562378,13,0.18433437082502577,0.17223627478988082
92.39,0.6371720433235168,14,0.17964787698454326,0.18264567962399236
92.87,0.6802178025245667,15,0.1757846596064391,0.1716989372615461
93.18,0.6749328970909119,16,0.16956618317851313,0.1634925780472932
92.76,0.6303262114524841,17,0.1671412209117854,0.16450605624251896
92.60,0.6355843544006348,18,0.16407638125949436,0.1703779857467722
93.41,0.7091296315193176,19,0.16414852930163895,0.15572181757953432
93.65,0.6871660351753235,20,0.15848886263039377,0.15363888911626958
93.64,0.7355689406394958,21,0.15525191097899718,0.14962024710796498
92.96,0.6861834526062012,22,0.15461028581140218,0.16197663242066349
93.23,0.7276571989059448,23,0.1487338338047266,0.15646736765349353
93.89,0.6999683380126953,24,0.14914493662891565,0.1453531894970823
93.99,0.7122982740402222,25,0.14665968660955075,0.14451035029358333
93.54,0.6651952862739563,26,0.14481709531887813,0.15213008335343114
94.17,0.742142379283905,27,0.13931526485140677,0.1422843320502175
94.18,0.73067307472229,28,0.13844674053015532,0.1432980826055562
94.04,0.7043436169624329,29,0.13593586865398619,0.14340626365608639
94.21,0.7297908067703247,30,0.13373398394496352,0.1435557457583922
94.44,0.7457342743873596,31,0.13283245168902255,0.13454567282288163
94.77,0.7609103322029114,32,0.12935212123449202,0.12844658339465106
94.63,0.7670475840568542,33,0.1279208099262582,0.13010229915380478
94.68,0.7580077648162842,34,0.1245528692724528,0.12786852292440556
94.79,0.7581436038017273,35,0.12294776813575516,0.12931982869351352
95.11,0.7828545570373535,36,0.1216146018770006,0.11828572220272487
94.53,0.7722849249839783,37,0.11730977541042699,0.13204535510804918
94.79,0.7511280179023743,38,0.11838159109983179,0.12863381952047348
93.83,0.6835746169090271,39,0.11824619756252677,0.15230889894344188
94.80,0.7540037631988525,40,0.11529284729449837,0.122938372194767
95.03,0.7733402252197266,41,0.11157920984206376,0.11855913698673248
94.94,0.7631455063819885,42,0.11364743306680962,0.1271006128302327
94.31,0.7280552387237549,43,0.10870943528910477,0.14321193650916772
95.13,0.7874138355255127,44,0.10826171251634757,0.1206151721654115
94.93,0.7561813592910767,45,0.10743987808624904,0.12641547979028137
95.07,0.7707133889198303,46,0.10382770546884448,0.1220454810946076
95.47,0.8095107674598694,47,0.10155521526380822,0.1100705674401036
94.89,0.7584643363952637,48,0.10297768763094037,0.1257660319959676
95.47,0.800757884979248,49,0.10436263218246124,0.11111828574427852
95.21,0.7757464647293091,50,0.09933927061933058,0.11674510908347589
95.37,0.7832736968994141,51,0.09933506600834706,0.11737460091158196
95.41,0.7911554574966431,52,0.09770481009036303,0.11224562647166075
95.77,0.8099719882011414,53,0.09425579239096907,0.10774963514672385
95.69,0.8107824325561523,54,0.09724603607146828,0.10737406407241468
95.68,0.801988422870636,55,0.09629612526407948,0.10935333564325615
95.35,0.7888263463973999,56,0.0899673254677543,0.11734344368731534
95.95,0.8205904364585876,57,0.09057442509327773,0.10412241932418612
95.82,0.8213043808937073,58,0.08924070321437386,0.10590728261956463
95.88,0.8193775415420532,59,0.09055443049442989,0.10656286444928911
95.78,0.8096974492073059,60,0.088903050041861,0.10805172859518616
96.27,0.8386459946632385,61,0.08350250131830021,0.09421959767738979
95.88,0.8257060647010803,62,0.08536532110776063,0.10071263793441984
95.96,0.8210457563400269,63,0.08403397116948057,0.10419577222179484
95.73,0.8069525957107544,64,0.08263163130592417,0.10989459935161802
95.99,0.8217189311981201,65,0.08117157006981196,0.10204064266549216
95.82,0.8080579042434692,66,0.08204341759146364,0.10854593485041901
95.83,0.81910240650177,67,0.08281320612877607,0.1059312555525038
95.68,0.8147835731506348,68,0.0796198930453371,0.10613290303283268
95.87,0.8077738881111145,69,0.07844607459588183,0.11277423909416905
95.91,0.8161083459854126,70,0.08056815830921685,0.10430362931004276
95.82,0.8077359199523926,71,0.07737479276127285,0.1049442799003036
95.14,0.7679771184921265,72,0.07900062820839661,0.1293663043114874
95.83,0.8091962933540344,73,0.07733185489282564,0.1102436673310068
96.24,0.831022322177887,74,0.07600029875282888,0.09593484730080322
95.82,0.8066136240959167,75,0.07575863078926448,0.10790089076315915
96.46,0.845674991607666,76,0.07494902983307838,0.0907658105371175
96.10,0.8257617950439453,77,0.07276216421828226,0.10530366348447623
95.72,0.7986029386520386,78,0.07117637226151095,0.11675233669854977
96.32,0.8358513116836548,79,0.07279645344587388,0.0959130887080122
95.97,0.8134155869483948,80,0.07199276631904973,0.10811731481441746
96.23,0.8292335271835327,81,0.06953448764289971,0.0978295976916949
96.60,0.8530569672584534,82,0.06812169834005612,0.08908859185046619
96.11,0.8254801630973816,83,0.0685344258737233,0.1015070518133817
96.34,0.8369566202163696,84,0.06858381115038086,0.09249261159587789
96.60,0.8530208468437195,85,0.06672318641924196,0.0893690690950111
96.47,0.8459353446960449,86,0.06814353185257425,0.09173874046515536
96.15,0.8259006142616272,87,0.06809421494189236,0.10474895575532207
96.32,0.834548830986023,88,0.06680956896808413,0.09645257365924341
96.24,0.8384755253791809,89,0.06530757269097699,0.10018298029899597
96.54,0.8504042029380798,90,0.06552682723850012,0.08989269258799376
96.52,0.8478904366493225,91,0.06669260523523446,0.0956727168350308
96.42,0.8370319604873657,92,0.06599017412022308,0.09593502307931583
96.61,0.8502238988876343,93,0.0646204675582272,0.0958931301203039
96.63,0.8501883745193481,94,0.061776079823849375,0.09152403873977838
96.75,0.8573447465896606,95,0.06330707934857518,0.0856148561945668
96.51,0.8425995707511902,96,0.06261837589382022,0.09409324783417913
96.60,0.8517913222312927,97,0.062253123011302064,0.09003152284357283
96.68,0.8545368909835815,98,0.061595261441888635,0.0896465300961777
96.65,0.8506396412849426,99,0.058530336176907574,0.09119987846524627
96.54,0.8456885814666748,100,0.06292554377405732,0.09012194805675083
96.41,0.845191240310669,101,0.057616539402968354,0.09610135618735242
96.55,0.8509151935577393,102,0.05672042387434178,0.08996951855995038
96.65,0.8566169738769531,103,0.058482516212043936,0.08891156591750958
96.72,0.8557062745094299,104,0.060414283329413995,0.09187351829475826
96.92,0.8660744428634644,105,0.05870981467887759,0.08092452696076145
96.83,0.8584910035133362,106,0.05536908628763976,0.08809751175619938
96.80,0.8571734428405762,107,0.056276148202380645,0.09328852221369743
96.76,0.8559838533401489,108,0.05590932326460326,0.09024065263845303
96.87,0.865175724029541,109,0.05709549570801081,0.08450422849920061
96.94,0.8681145310401917,110,0.05416562735896419,0.08164209182615634
96.42,0.8359717726707458,111,0.053339635177205004,0.10186049424939686
96.81,0.8595526218414307,112,0.05447926123936971,0.08544134127872961
96.87,0.8618473410606384,113,0.053734284860116464,0.0886176682456776
96.94,0.8649226427078247,114,0.055851550996993425,0.08261414382744718
97.05,0.8695263862609863,115,0.05643546170796509,0.08047884040408665
96.67,0.850649356842041,116,0.0538453145849484,0.09092313037426383
96.77,0.8584461212158203,117,0.05378952391307663,0.0886200280101211
97.09,0.8743118047714233,118,0.05264253393505459,0.08143987368654322
96.61,0.8539434671401978,119,0.0523756159366005,0.09612955235772663
96.84,0.861323893070221,120,0.05258975134886525,0.08765502660362809
96.86,0.8620811700820923,121,0.052432498153023144,0.08763667513374929
96.86,0.8608593940734863,122,0.048924137372523546,0.08989114631657247
96.83,0.8588142991065979,123,0.051896808565490775,0.08803749525988544
96.80,0.8589640259742737,124,0.05012901106642352,0.09099335526978528
96.89,0.8621875643730164,125,0.05135238025751379,0.08892496068168569
96.36,0.8354703187942505,126,0.048652741437157,0.11255928639460493
96.97,0.8650274276733398,127,0.04852724756562599,0.08290479428790233
96.74,0.8530262112617493,128,0.04782840318081004,0.09443608436871458
97.12,0.8788667917251587,129,0.054172430325437476,0.07559897792008188
97.12,0.8753979206085205,130,0.04861279915052431,0.07864835416829144
97.08,0.8714655637741089,131,0.049028607464774894,0.08166442921868076
96.99,0.8665969371795654,132,0.04898833562792451,0.08295903727412224
97.05,0.8710827231407166,133,0.04623309262441816,0.08055937993857595
96.98,0.868445873260498,134,0.04901567917248165,0.08142522156790451
96.97,0.8669420480728149,135,0.04847915453353414,0.0874011115067535
97.04,0.8737156391143799,136,0.04619264544022304,0.0798327848315239
97.05,0.8706264495849609,137,0.046786031392575415,0.08674546000030306
97.09,0.8737564086914062,138,0.04586247756594309,0.08379874930337623
96.99,0.8674023151397705,139,0.04593463088558228,0.08254646109762015
96.91,0.8678639531135559,140,0.04673850848511965,0.08855078948868646
97.13,0.871819019317627,141,0.04584651449005361,0.08237887918949127
97.03,0.8714834451675415,142,0.04368561583881577,0.08691996073833218
97.24,0.8806185722351074,143,0.04487330897676724,0.07603106206213986
97.13,0.8773257732391357,144,0.04549114047377198,0.07896305662062433
97.07,0.8737900853157043,145,0.04578154311618871,0.08442761776623903
97.00,0.866257905960083,146,0.04630957588691403,0.08539643580162967
97.11,0.8754962086677551,147,0.04503713399861698,0.08070067136927887
97.14,0.8789226412773132,148,0.04586360229317237,0.07833221471971935
97.33,0.8834680914878845,149,0.04457992963768818,0.0768159256765136
97.14,0.8717325925827026,150,0.04322535292831836,0.08690161837471856
97.24,0.8774827122688293,151,0.04332792495066921,0.0805095558365186
97.40,0.8886117935180664,152,0.04161298852758827,0.07570801233803784
97.28,0.8845459818840027,153,0.042558746671097145,0.07948336791661051
97.35,0.8897204995155334,154,0.04274196648556325,0.07520974330880024
97.38,0.8857473731040955,155,0.04385073257058307,0.07373394858505991
97.27,0.8835621476173401,156,0.04233379127388751,0.07777828171297356
97.09,0.8680084943771362,157,0.04161638185312903,0.0888202527055034
97.37,0.8838330507278442,158,0.039947930447481295,0.07645802744836719
97.05,0.8748751282691956,159,0.042016611089585,0.08303253821752689
97.18,0.8741688132286072,160,0.040134649999715666,0.08116461460789044
97.24,0.8778965473175049,161,0.040687369734600735,0.08076392969599476
