acc,diceScore,epoch,trainLoss,valLoss
89.94,0.3233010053634,0,0.4950115462696111,0.6946091011718467
89.86,0.4682734906673,1,0.40204725276540826,0.6925071897330107
89.36,0.6112201809883,2,0.35871079840041975,0.7052652129420528
89.84,0.3903315067291,3,0.3286619109136087,0.6895952622095743
91.01,0.5785189867019,4,0.3009956164492501,0.6896000107129415
90.62,0.5199005007743,5,0.2789788488988523,0.6892438862058852
91.33,0.5944136381149,6,0.2631665444760411,0.6881002651320564
91.33,0.6584864854812,7,0.24745870588554275,0.6931237843301561
91.70,0.6610457301139,8,0.23730401225663997,0.6902464495764838
91.94,0.6185417771339,9,0.22510873747092705,0.6846364515799063
92.32,0.6209304928779,10,0.21609803565122462,0.6818322473102145
92.07,0.6537598371505,11,0.20990785694232694,0.6863145099745857
92.47,0.6916435360908,12,0.2028560065836818,0.6862782703505622
92.62,0.6273781061172,13,0.1955727035248721,0.6795818916073552
92.16,0.5948275327682,14,0.19514502695313207,0.6812390707157276
92.93,0.6545433402061,15,0.18668398509422937,0.6789472544634784
92.02,0.5806697010993,16,0.18130162234107652,0.6814579632547166
92.94,0.6976905465126,17,0.17771911358943693,0.6825124930452418
92.84,0.6328724622726,18,0.1750160170098146,0.6779931651221381
93.38,0.6898912787437,19,0.17045793778918408,0.6779988430164479
93.23,0.7148357033729,20,0.16828376082358537,0.6816727519035339
93.30,0.6541332006454,21,0.16533011273929366,0.6757697970778854
93.10,0.6654281020164,22,0.16262834767500559,0.6784145787910179
93.63,0.7196993827819,23,0.16034738747058092,0.6782737749594229
93.66,0.7209003567695,24,0.15627403239961024,0.6782657084641633
92.58,0.5905031561851,25,0.1527783021468807,0.6777088112301297
93.47,0.7341488599777,26,0.1527128643873665,0.6814653189093979
93.74,0.7160260081291,27,0.14967173020596858,0.6768942409091525
93.48,0.6696007251739,28,0.1476100086475964,0.675223257806566
93.91,0.7224413752555,29,0.14346787712916179,0.6760339273346795
92.92,0.6318907141685,30,0.14328268880921383,0.6772341573679889
94.48,0.7613131999969,31,0.14158090190203101,0.6746651419886837
93.51,0.6684015393257,32,0.1375719395086721,0.674927415671172
94.50,0.7591622471809,33,0.13350263237953186,0.6743469127902278
94.35,0.7595759630203,34,0.1327055231840522,0.6757263585373208
94.33,0.7228984832763,35,0.13127546688472783,0.6719957788785299
94.51,0.7757703065872,36,0.13264743452546773,0.6762173352418123
94.54,0.7414189577102,37,0.13004942562569072,0.6717914784396136
94.80,0.7688715457916,38,0.12497008364233705,0.6722709249567103
94.95,0.7696938514709,39,0.12229868652368034,0.6706326736344231
